# id	versoes_no_jornal (broca-so/conversa/dados/conhecimento.graph.jsonl)
crioulo_e_pidgin	3
criptoeconomia	5
criptografia	4
criptografia_assimetrica	3
criptografia_pos_quantica	4
criptografia_simetrica	2
crispr	3
crispr_alphafold	3
crispr_edicao	4
cristal64	4
cristal_agent_seleciona	10
cristal_agente_vies_dominio	15
cristal_agentes_catalogo	15
cristal_agentes_ortogonais	4
cristal_analyze_estatico	15
cristal_ask_cascata	26
cristal_audit_historico	10
cristal_carrega_identidade	3
cristal_chat_turn	15
cristal_cli	11
cristal_cli_estado_wip	16
cristal_code_via_colapso	15
cristal_command_base	15
cristal_conhecimento_pipeline	15
cristal_contexto_32b_ema	21
cristal_cristalizar_promote	16
cristal_dev	21
cristal_duas_memorias	16
cristal_e_a_convergencia	4
cristal_e_vidro	5
cristal_entrypoint_registro	15
cristal_hooks_plugins	11
cristal_mapa_comandos	16
cristal_memoria	6
cristal_memoria_compact	19
cristal_memoria_viva_jsonl	16
cristal_motor_congelado	3
cristal_norma_conservada	4
cristal_parser_registry	15
cristal_patch_marcador	20
cristal_pipeline_runner	16
cristal_portao_rollback	16
cristal_projeto_contexto	15
cristal_recall_ponte	11
cristal_repl_shell	15
cristal_roteamento_cosmetico	20
cristal_runner_executa	15
cristal_sessao_jsonl	15
cristal_shadow_phi_delta	15
cristal_task_work	20
cristal_vs_cha	7
cristalchain	7
cristalografia	2
cristianismo	6
criterio_de_nao-isomorfismo	47
criterio_de_projeto	22
critica_decoreba_gentil	5
critica_fenomenologica_dreyfus	5
critica_ia_semantica	6
critica_meritocracia_escolar	5
critica_proporcao_aurea	5
critica_realista_direito	5
critical_slowing_down	4
criticidade	3
crivo_de_selberg	6
csharp	6
css	4
css_in_js	6
cubismo	3
cuidados_paliativos	4
cultura_da_convergencia	3
cultura_modo_de_vida	3
cultura_participativa	3
cups_separacao_planos	3
curriculo_espiral	5
curry_howard	8
curto_circuito	4
curva_de_carga	6
curva_do_pato	6
curvas_rotacao_rubin	2
curvatura_algebrica	3
curvatura_n_menos_1	3
cuspide_pisot	4
custo_computacional	3
custo_por_tentativa_e_vantagem	5
dadiva_mauss	4
dados_brutos_espectro	4
damas_resolvidas_chinook	2
darwinismo_algoritmico	4
data_center	3
datificacao	3
david_contra_golias	5
de_sitter_lambda_energia_escura	2
de_um_qubit_a_n_funcoes_de_onda	13
de_zheng	3
debate_direito_moral	3
decaimento_proton	3
decaimento_radioativo	2
decisao_bayesiana	4
decisao_sob_ignorancia	4
declinio_spengler	3
decoerencia	3
decoerencia_colapso_medida	2
decoerencia_e_sair_da_borda	6
decomposicao_espectral_imagem	4
decomposicao_isomorfa_ao_bai	6
decomposicao_peirce	7
deep_blue	24
deep_blue_1997	4
defeito_composicao	2
defeito_cristalino	2
defeito_de_massa	2
defesa_em_profundidade	2
defesa_siciliana	2
definicao	56
definicao_13_grau_seja_px_axm_m_axm1_m1_ax2_2_a	2
definicao_16_p_230_temos_a12_a11_r1_a13_a12_r1_a14_a13	2
definicao_16_p_230_temos_a2j_a1j_r2_a3j_a2j_r2_a4j_a3j	2
definicao_3_p_82_temos_0_a_f_b_g_n_a_f_b_g_n	2
definicao_4_p_94_temos_0_a_f_b_g_n_a_f_b_g_n	2
definicao_frasagem_ampla	62
definicao_matematica	3
definition_atenuacao_e_propagacaodeftp_sobre_extents_t2	4
definition_autoridades_intrinsecas_duas_fontes_de_autoridad	3
definition_avaliacao_filtra_o_ciclo_de_vida_em_holdp_e	4
definition_capacidade_casldefcap_specializacao_da_definica	9
definition_capacidade_conversacionaldefkappa-tiffany_spe	9
definition_capacidadedefkappa-abstract_uma_capacidade_e_um	9
definition_capacidades_detidas_holdp_e_o_menor_conjunto	4
definition_concessao_valida_atenuacaodefatt_a_aresta_u	4
definition_conjunto_vigente_e_colapso_defcollapse_seja	7
definition_delegacao_e_um_operador_monotono_deflacionario_c	3
definition_forma_continuadefcont_para_x_l2_0dtt	5
definition_forma_discreta_sobre_bitsdefdisc_dado_b01	5
definition_grafo_de_delegacaodefdag_um_grafo_de_delegacao	3
definition_instancia_de_concessao_uma_instancia_e_uma_capac	3
definition_linhas_e_condicoes_seja_o_universo_de_todas_a	4
definition_mapeamento_parteivdeftiffany-casl_center	6
definition_medida_defphi-abstract_fixe_um_espaco_de_esta	7
definition_o_dioid_das_condicoes_2_com_e	7
definition_orcamento_de_propagacaodefdelta-budget_repre	10
definition_os_dois_lados_o_lado_real_e_com_a_metrica	5
definition_par_defphi-delta_controla_propagacao_a	7
definition_reta_de_ouro_seja_152_a_constante_do_vazi	7
definition_universo_e_extentdefuniverso_fixe_um_universo	7
deformacao_transversal_cisalha	110
degenerados	9
degenerados_na_familia	3
deixis	2
delta	80
demanda_agregada	5
democracia_deliberativa	4
democracia_formas	3
demodular_colapso	5
denotacao_conotacao	2
dependencias_entre_fases	3
deploy_agente_allowlist	5
deploy_bootstrap_seguro	4
deploy_por_banda	4
deploy_tunel_rendezvous	4
deploy_verify_checksum	3
deriva_continental	2
deriva_genetica	3
derive_dont_store	4
desafio_resposta	3
desambiguacao	3
descendencia_comum	2
descritores_de_fourier_objeto	6
desenho_de_mecanismos	2
desenvolvimento_orientado_a_tarefas	8
desenvolvimento_web	6
desescolarizacao_illich	4
desi_energia_escura_dinamica	7
design_elementos_do_chatgpt	5
design_laco_e_posicao	12
design_linguagem_gatos	20
design_norma_conservada	10
design_opcode_algebrico	10
design_primitivo_matriz	10
design_programa_como_numero	8
design_semantica_tensorial	10
design_sub_turing_deliberado	10
design_system	4
design_system_cristalchain	11
design_vetorizado_svg	6
designadores_rigidos	3
desitter_4d_universo	5
desobediencia_civil	4
destruir_a_parabola	17
detalhe_por_etapa	3
determinantes_sociais_saude	4
determinismo_ambiental	4
determinismo_tecnologico	3
deus_como_vazio_gentil	8
deus_criador	4
deus_e_diabo_um_so_gentil	5
deus_mentiroso	4
deus_postulado	6
deus_vazio	5
devops	4
dewey_democracia_educacao	4
dharma_svadharma	3
dhcp	3
diagnostico_colapso	8
dialetica_hegeliana	4
dialeto_e_variacao	3
dialogicidade	2
dialogo_kurukshetra	4
dicionario_arquiteturas_gpu	21
dicionario_bai_omnitrix	275
dicionario_coracao_gap	21
dicionario_cristal_semicondutor	17
dicionario_das_fontes	6
dicionario_dtc_motor_esferico	217
dicionario_ed_bai	76
dicionario_floxina_materia_escura	486
dicionario_floxinato_gap_massa	640
dicionario_formas_transformacoes	8
dicionario_joalheria_bai	15
dicionario_litografia_dopagem	380
dicionario_litografia_invariante	4
dicionario_litografia_perelman	5
dicionario_maquina_universal_sass	42
dicionario_matrix_bai	399
dicionario_milenio	924
dicionario_musculos_face	4
dicionario_ofloxacino_floxina	312
dicionario_omnitrix_ben10	6
dicionario_operacional_tudo_que_fourier_tem	3
dicionario_tesla_bobina_gap	180
dicionario_tiffany_artesa	7
dicionario_tiol_gato_gamba	248
dicionario_vesica_motor_esquilo	128
dicionario_visemas	8
dicionarios_centralizados	70
didatica_magna_comenius	2
didatica_matematica	4
difracao_atomica_turmalina	155
difracao_de_raios_x	3
difusao_fluido_atratores	79
difusao_preenche_mineracao	4
digital_twin	4
dilema_da_seguranca	3
dilema_do_prisioneiro	3
dimensao_de_hausdorff	6
dimensao_de_prata_comparacao_posterior	7
dimensao_de_prata_pell	5
dimensao_de_traco	3
dimensao_traco	3
dimensoes_do_pipe	2
dimensoes_extras_bsm	3
dinamica_de_selberg_o_termo	12
dinheiro	7
diodo	3
dirac_majorana_0nbb	2
direito	4
direito_a_cidade	3
direito_ao_esquecimento	4
direito_e_tecnologia	4
direito_internacional	4
direitos_humanos	3
discriminante_faces	3
disease_illness_sickness	4
dispatch_opcodes	3
dispositivo_semicondutor	3
dissipacao_anomala_onsager	3
dissipacao_gato_concentracao_esquilo	24
dissipacao_na_passagem	4
dissipacao_prigogine	4
dissonancia_cognitiva	3
dissuasao	3
distancia_de_estilo	4
distincao_base_vs_subshift	5
distincao_peirce_filosofo_vs_algebra_broca-so	13
distinguisher_sha_hipercomplexo	3
distribuicao_de_energia	5
distribuicoes	6
divida_tecnica	2
dna_cadeia_base4	6
dna_dupla_helice	4
dna_informacao_shannon	3
dns	4
dobramento_proteico	3
documentacao	2
documentacao_como_codigo	5
dodecafonismo	6
dogma_central	5
dogma_central_decodifica	6
dois_charts_um_objeto_mapeamentos	124
dois_ciclos_reconstrucao	3
dois_generais	4
dois_pacotes_pow_lucro	11
dois_qubits_o_emaranhamento_e_o_associador_octonionico	4
dois_qubits_octonios	4
dois_qubits_s7_s4	9
dois_sistemas_kahneman	7
dom	3
dom_virtual	4
dopagem	3
dor_vs_sofrimento_gentil	6
dotenv	4
dotfiles	4
douady_hubbard	4
dq_espectro_ilha	3
driver	14
driver_de_dispositivo	4
ds_universo	22
dsl_bai_xadrez	4
dsl_comparacoes_ordem	13
dsl_frontend_linguagem_gatos	28
dsm_critica	5
dtc_renderer	3
dtc_schema_ut	3
dualismo_descartes	5
duas_camadas	9
duas_leituras_168	6
duas_leituras_e8_248	6
duas_retas_uma_passagem	3
dupla_conectividade_nr	2
dupolinomio_meta_inducao	9
dureza_idempotente_fatora	5
dworkin_integridade	4
dzogchen_rigpa	5
e8_moonshine_sigma	3
e_uma_energia_bem-fundada_ciclos_sao_inofensivos_como_tod	122
ecologia	2
economia	6
economia_da_atencao	4
ecossistema	2
edge_computing	6
edge_vs_nuvem	4
edicao_germinativa_crispr	4
edp_classica_2_4_8	36
edp_relativistica_gentil_3_7	46
educacao	14
educacao_bancaria	4
educacao_cidada_nussbaum	4
educacao_natural_rousseau	3
educacao_problematizadora	3
edward_lasker	4
efe_einstein	5
efeito_colateral	3
efeito_hall_fracionario_anyons	2
efeito_hall_quantico_inteiro	3
efeito_placebo_duplo_cego	3
eficiencia_round_trip	4
einstein_de_sitter_modelo	3
eixos_da_caligrafia	3
elasticidade_entropica_borracha	115
eleitor_mediano_downs	4
elementos_musica	2
eletrico_pula_carnot	4
eletromagnetismo_eng	6
eletronica	3
eletronica_analogica	7
eletronica_de_potencia	5
eletronica_de_rf	4
eletronica_digital	6
eletronica_digital_analogica	3
elixir	6
ellul_autonomia_tecnica	3
ellul_la_technique	3
elm	4
elo_rating	2
em_optica_quantica_universal	350
email_smtp	3
emaranhador	4
emaranhamento_associador_hardware	7
emaranhamento_mineral	4
embedding	4
embedding_como_interlingua	6
emergencia	6
emg_no_espaco	2
emissao_turmalina_piso	15
emocao_octonion_plutchik	21
emocoes_basicas_ekman	6
emphenforcement	7
enacao	5
encapsulamento	3
endereco_mac	3
energia_de_ligacao	3
energia_eletrica	4
energia_eolica	2
energia_escura_campo_psi	3
energia_escura_fria_temperatura	4
energia_escura_o_campo_de_algebra	3
energia_fractal_cantor	6
energia_hidreletrica	2
energia_nuclear	3
energia_salto_hbar_raiz2	5
energia_solar	3
eng_eletronica	2
eng_sistemas_energia	2
eng_telecomunicacoes	2
engenharia_eletrica	4
engenharia_social	2
enhancement_humano	4
ensaio_clinico_randomizado	3
ensinar_conceito	3
ensino_automatico_dialogo	4
entregaveis	9
entropia_fios_gato_esquilo	162
entropia_log_phi	6
entropia_ouro_para_prata	36
entropia_shannon	2
entropia_topologica	5
enunciacao_benveniste	5
enxame_robotico	4
enzima	2
eos_w_cpl_modelos	3
epidemiologia	2
epigenetica	2
epistemico_nao_sobrescreve	3
epistemologia	10
equacao_de_moran_traco	4
equacao_de_pell	8
equacao_de_referencia_mq_standard	7
equacao_divina_gentil	7
equacao_efectiva_conjectura	10
equacao_gema_estelar	190
equacoes_diferenciais	5
equacoes_friedmann	7
equilibrio_de_nash	3
equivalencia_traducao	3
erlang	4
esboco_itens_i--iv_sao_exatamente_as_hipoteses_das_def	63
escada_de_hipociclos	11
escada_metalica_pi	4
escala_ouro_phi	3
escala_planck	1
escala_volta_gentil	4
escalabilidade	6
escalabilidade_elastica	3
escalonador	4
escape_adscft	3
escassez	18
escola_---_engrossar_a_assinatura	6
escola_de_xadrez_estilos	3
escola_positiva_criminologia	4
escrita	3
esfera_bloch_base_hopf	4
esfera_de_bloch	32
espaco_difusivo	3
espaco_metrico_quantico_gentil	5
espaco_relacional_massey	4
espaco_santos	4
espaco_tropical	4
espaco_vetorial	55
espalhamento_espectral	3
espanhol	2
especiacao	2
especializacao_das_vozes	3
espectro_das_orbitas	30
espectro_e_orbita_cristal	5
espectro_eletromagnetico_uso	3
espectro_irredutivel_floco	6
espectro_prata_seis_modos	25
espiral_do_silencio	4
espiral_metalica	4
esquema_inducao	3
esquema_validacao	3
estabelecimento_conexao_rrc	4
estabelecimento_sessao_pdu	5
estabilidade	9
estabilidade_da_rede	8
estabilidade_potencia	4
estabilizacao_giroscopica_impossivel	4
estado_completo_transformada	42
estado_de_direito	4
estado_imutavel	3
estados_estacionarios_selecao	1
estados_rrc_nr	2
estagios_piaget	3
estatisticas	8
estatuto_correspondencia_derivacao	4
estatuto_derivado_posto_convencao	3
estatuto_e_conclusao	6
estatuto_e_escopo_honesto	4
estatuto_missao_ouro_loucura	5
estatuto_moral_embriao	3
estatuto_o_que_fecha_o_que_segue_para_o_proximo_nivel	16
estatuto_o_que_se_reproduz_e_o_que_e_horizonte	14
estatuto_o_que_se_verifica_o_que_e_leitura	10
este_documento_apresenta_uma_---_nao_uma_aplicacao_autorida	60
esterilidade_no_metal	5
estetica	14
estetica_da_recepcao	5
estetica_do_fluir_gentil	6
estojo_agulhas_minerais_fixo	231
estranhamento	3
estrategia	2
estrategia_como_phi	4
estrategia_dominante	2
estrategia_empresarial	2
estrategia_evolutiva_estavel	3
estrategia_indireta	2
estrategia_jogo	2
estrategia_mista	2
estrategia_posicional	3
estrategia_vs_tatica	2
estrategias_de_chunking	3
estrato_nas_5g	3
estrela_clifford_projetado	4
estrela_flor_joalheria_topologico	4
estrela_promove_floco	14
estrela_svg_atlas	3
estrutura_de_bandas	2
estrutura_de_dados	15
estrutura_de_peoes	2
estrutura_definicao_teorema_prova	3
estrutura_do_documento	11
estrutura_larga_escala_cdm	3
estrutura_profunda_superficie	2
estrutura_quadro_nr	3
estruturalismo_bourbaki	3
estruturalismo_linguistico	4
estruturalismo_mito	3
estruturas_de_sentimento	3
estruturas_vivas_sacrificio	5
estudos_de_midia	4
eterno_retorno	5
ethernet	5
ethics_of_care	13
etica	8
etica_pesquisa_humanos	2
etica_protestante	7
etnomatematica	4
etnomusicologia	3
eudaimonia	6
euler_prolifico	7
evidencia	4
evolucao_atrator	5
exatidao	22
excesso_octonico_refutado	4
exclusao_pauli_algebrica	4
executor_agentes_e_avaliador	3
exemplo	68
existencia_precede_essencia	5
experimento_1_distribuicao_espectral_dos_candidatos	6
experimento_1_trocar_a_prata	10
experimento_2_a_maquina_escolhe	6
experimento_2_mapa_do_erro	7
experimento_2_recorrencias_e_metais	10
experimento_3_inverter	22
experimento_3_o_erro_possui_estrutura	3
experimento_3_orbitas	9
experimento_46_degeneracoes_invariantes_simetria	6
experimento_5_trajetorias_no_plano_calor_fase	7
experimento_7_comparacao_spectral_vs_linear	6
experimento_da_agulha	4
experimento_minimo_decide	3
experimentos_reprodutiveis	9
expoente_unico	6
express	6
expressao_genica	2
expressao_regular	3
expressividade	13
expressividade_sub_turing	4
extensoes_do_homem	4
fab_cinco_estagios	5
fab_combustivel_ordem	4
fab_fissao_fusao_lacrada	4
fabrica_ordem_construtiva	4
face_bela_morte	4
face_only_r_line	10
face_polida_primeira_frase	58
face_turno_fail_closed	3
fail-closed_uniao_vazia_se_nenhum_grant_detido_casa_sa	63
fail_closed_definicao_honesta	16
faixas_fr1_fr2	3
falha_enlace_radio_rlf	3
falsificabilidade	24
falsificacao_dougherty_teste_2	6
falso_amigo	3
familia_linguistica	4
familia_m-bonacci_gap_k	7
familia_metricas_gentil	8
fano_psl_168	6
fascismo	4
fase3	15
fase_2_tecido_de_conhecimento	19
fase_berry_holonomia_hopf	5
fase_de_berry_canonica	1
fase_dinamica_vs_geometrica	7
fase_geometrica_berry	35
fase_geometrica_berry_contraexemplos	5
fase_geometrica_berry_fase_dinamica_vs_geometrica	4
fase_geometrica_berry_fase_geometrica_de_berry_pancharatnamberry	3
fase_geometrica_berry_fase_pancharatnamberry	3
fase_geometrica_berry_fontes	3
fase_geometrica_berry_ponte_broca-so	5
fase_geometrica_berry_referencia	3
fase_geometrica_berry_relacao_com_hipotese_dougherty	5
fase_geometrica_berry_transporte_paralelo_e_bloch_sphere	5
fase_geometrica_de_berry_pancharatnamberry	4
fase_global_e_observador	6
fase_observacao_gabarito	6
fase_pancharatnamberry	4
fase_pulso	3
fatiamento_amostragem	4
fato_social	5
fato_vs_inferencia	2
fechamento_blocos	19
fechamento_e_estatuto	3
fechar_laco_gato_posicao	18
fecho_1572863	3
fecho_1966079	3
fecho_koch_painel	3
fecho_torre_8d_7d	264
fechos_centro_da_janela	14
feed_de_comunidade	10
feedback_retroalimentacao	4
ferdinand_saussure	3
fermat_na_maquina	27
fibonacci	6
fibonacci_multidimensional	28
fibracao_de_hopf	29
fibracao_de_hopf_e_esfera_de_bloch	4
fibracao_hopf_bloch	102
fibracao_hopf_bloch_contraexemplos	7
fibracao_hopf_bloch_dois_qubits_s7_s4	3
fibracao_hopf_bloch_esfera_de_bloch	4
fibracao_hopf_bloch_fase_global_e_observador	4
fibracao_hopf_bloch_fibracao_de_hopf	4
fibracao_hopf_bloch_fibracao_de_hopf_e_esfera_de_bloch	3
fibracao_hopf_bloch_fontes	3
fibracao_hopf_bloch_ponte_broca-so_confirmacao	6
fibracao_hopf_bloch_referencia	3
fibracao_hopf_bloch_relacao_com_hipotese_dougherty	5
ficcao_hub	1
ficcionalismo_matematico	6
ficheiros	27
fidelidade_vs_fluencia	3
figuras_de_linguagem	4
fila_de_requisicoes	3
filesystem	10
filosofia	5
filosofia_da_computacao	3
filosofia_da_educacao	5
filosofia_da_historia	6
filosofia_da_linguagem	9
filosofia_da_matematica	7
filosofia_da_medicina	4
filosofia_da_mente	7
filosofia_da_tecnica	3
filosofia_do_direito	4
filosofia_informacao_floridi	4
filosofia_unix	4
filotaxia	5
filtro	4
fim_da_historia	7
fim_de_vida_espectro	4
final_de_xadrez	2
firewall	3
fischer	6
fish	2
fisica	202
fisica_corpo_matricial_n_qubits	325
fisica_do_estado_solido	3
fisica_ondas_eng	5
fisica_universal_omnitrix	357
fissao_nuclear	4
fixamos_e_o_curinga	67
flags	12
flexibilidade_interpretativa	4
flip_discreto_continuo	9
flip_duopolinomios	6
flip_e_rotacao_de_wick	5
flip_epsilon_discriminante	4
flip_pg_pa	7
flip_sigma	3
floco_calor_dissipado	5
floco_de_neve	38
floco_enderecavel_metal_posicao	32
floco_imagem_validacao	3
floco_no_metal	11
floco_phi	7
floco_recipiente_termico	8
floco_selo_16bytes	4
floxina_investigacao	2908
floxina_quantum_materia_escura	600
floxina_selberg	656
floxina_wick_difusao	486
fluido_algebrico	5
flux_qubit_tabela_periodica	8
fluxo	5
fluxo_comissao_terceiros	3
fluxo_de_carga	4
fluxo_de_consciencia	3
fluxo_landen	4
fonologia	2
fontes	50
fontes_web	4
forma_canonica_lyndon	2
forma_extensiva	2
forma_funcao_sullivan	4
forma_segue_funcao	4
forma_sonata	3
formalismo_greenberg	4
formalismo_hilbert	4
formalismo_operacional	3
formas_de_onda_nr	3
formato_da_base	2
formula_explicita	18
formula_explicita_solucao_edp	40
formula_extremos_cantor	4
fotografia	7
foton_salem	4
fotossintese	3
fourier_reconstrucao	3
fpga	9
fracao_continua_phi	7
fracoes_continuas	9
fracoes_continuas_e_reta_de_ouro	47
fracoes_continuas_ed	60
fracoes_continuas_topologica	10
fractais_na_arte	4
fractal_newton_reta_matricial	345
fractal_phi_fibrado	5
framework_backend	6
framework_frontend	6
framing_enquadramento	6
frege_sentido_referencia	3
frenagem_regenerativa	4
frequencia_da_rede	5
freudenthal_rme	2
fronteira_e_fail_closed	4
fronteira_hurwitz	3
fsharp	3
fuller_moralidade_interna	4
funcao	14
funcao_autor_foucault	3
funcao_de_perda	2
funcao_hash	4
funcao_onda_secao_hopf	5
funcao_poetica	3
funcao_primeira_classe	6
funcao_pura	3
funcional_simetria_klein	3
funcionalismo_mente	5
funcoes_da_linguagem	4
funcoes_de_rede_5gc	3
funcoes_linguagem_jakobson	4
funil_cumulativo	8
furo_hopf	4
fusao_controlada	2
fusao_e_deny_overrides	4
fusao_estelar	2
fusao_nuclear	4
g2_automorfismos_associador	3
g2_grupo_excepcional	2
g2_muon_anomalia_dissolvida	2
gaia	7
gamba_antissimetrico	574
gamba_lado_frio_clones	390
gamba_litografico_assinatura	474
gamba_quatro_fisicas	328
gambito_da_dama	2
ganho_converge_n_estrela	4
gap_emocional_nunca_zera	15
gap_espectral	4
gap_metalico	3
garbage_collection	4
garfo_xadrez	2
garrafa_klein_algebra	3
garry_kasparov	2
gatekeeping	3
gato	304
gato_2x2_e_fisico_nao_incidental	30
gato_como_cifra	5
gato_de_arnold	5
gato_e_o_hamiltoniano	5
gato_eh_um_mamifero	5
gato_generaliza_matriz_companion	61
gato_operador_hub	17
gato_operador_hub_contraexemplos	8
gato_operador_hub_fontes	6
gato_operador_hub_gato_a_hub_do_operador_algebrico_pow	3
gato_operador_hub_o_que_e	5
gato_operador_hub_ponte_broca-so	12
gato_operador_hub_referencia	3
gato_ula	4
gauss_principe	6
gema_cristal_um_quilate	162
gema_produto_quadricas	72
gene	2
gene_egoista	7
genealogia_foucault	4
genero_gramatical	2
generos_literarios	2
genetica	2
genios_tambem_erram	6
genoma	2
genoma_penrose_zeta5	6
gentil_12_definicao	12
gentil_15_propriedade_fundamental_de_uma_pam	10
gentil_16_soma_dos_termos_de_uma_pam	15
gentil_capitulo_1_sequencias_aritmeticas_de_ordem_m	7
gentil_capitulo_2_somas_e_diferencas_de_ordem_m	5
gentil_capitulo_3_sequencias_geometricas_de_ordem_m	6
gentil_capitulo_4_sequencias_especiais	6
gentil_capitulo_5_progressao_aritmetica_bidimensional	3
gentil_capitulo_6_progressao_geometrica_bidimensional	4
gentil_capitulo_7_progressao_aritmetica_tridimensional	5
gentil_capitulo_8_mais_aplicacoes	5
gentil_capitulo_9_programando_a_hp_prime	10
gentil_definicao_10_dada_uma_sequencia_f_n_r_definimos_o_produto_de_ordem_m_d	3
gentil_definicao_12_polinomio_dual_dada_uma_sequencia_de_numeros_reais_positivo	3
gentil_definicao_13_grau_seja_px_axm_m_axm1_m1_ax2_2_ax_1	4
gentil_definicao_16_chama-se_progressao_aritmetica_bidimensional_pa-2d_uma_seq	3
gentil_definicao_16_p_230_temos_a12_a11_r1_a13_a12_r1_a14_a13_r1	4
gentil_definicao_16_p_230_temos_a2j_a1j_r2_a3j_a2j_r2_a4j_a3j_r2	4
gentil_definicao_17_dizemos_que_uma_sequencia_simples_e_equivalente_a_uma_pa-2d	3
gentil_definicao_18_dizemos_que_uma_sequencia_dupla_e_equivalente_a_uma_p_a_qua	3
gentil_definicao_19_chama-se_progressao_geometrica_bidimensional_pg-2d_uma_se	3
gentil_definicao_1_chama-se_progressao_aritmetica_de_ordem_m_p_am_uma_sequ	6
gentil_definicao_20_chama-se_progressao_aritmetica_tridimensional_pa-3d_uma_se	3
gentil_definicao_21_dizemos_que_uma_sequencia_simples_e_equivalente_a_uma_pa-3d	3
gentil_definicao_22_um_quadrado_numerico_e_magico_se_possui_n2_numeros_inteiros	3
gentil_definicao_3_p_82_para_o_calculo_da_m-esima_diferenca_e_enfadonho_a_for	3
gentil_definicao_3_p_82_temos_0_a_f_b_g_n_a_f_b_g_n_a_fn	4
gentil_definicao_4_p_94_temos_0_a_f_b_g_n_a_f_b_g_n_a_fn	4
gentil_definicao_8_chama-se_progressao_geometrica_de_ordem_m_p_gm_uma_sequ	3
gentil_definicao_9_p_140_para_o_calculo_do_m-esimo_quociente_e_um_tanto_quanto	3
gentil_fundamentos_101_pre-requisitos	6
gentil_fundamentos_22_relacoes_especiais	9
gentil_fundamentos_capitulo_10_n_umeros_reais_por_cantor	6
gentil_fundamentos_capitulo_11_n_umeros_reais_azuis_e_vermelhos	6
gentil_fundamentos_capitulo_12_n_umeros_complexos	6
gentil_fundamentos_capitulo_13_n_umeros_hipercomplexos	10
gentil_fundamentos_capitulo_14_consultas	8
gentil_fundamentos_capitulo_1_o_que_e_um_n_umero	7
gentil_fundamentos_capitulo_2_relac_oes_bin_arias	8
gentil_fundamentos_capitulo_3_n_umeros_naturais	8
gentil_fundamentos_capitulo_4_n_umeros_naturais_azuis_e_vermelhos	11
gentil_fundamentos_capitulo_5_n_umeros_inteiros	10
gentil_fundamentos_capitulo_6_inteiros_azuis_e_vermelhos	9
gentil_fundamentos_capitulo_7_n_umeros_racionais	8
gentil_fundamentos_capitulo_8_racionais_azuis_e_vermelhos	9
gentil_fundamentos_capitulo_9_n_umeros_reais_por_dedekind	8
gentil_fundamentos_definicao_10_p_63_definicao_29_p_156_teorema_2_p_69	7
gentil_fundamentos_definicao_11_classe_de_equivalencia_seja_a_a_px_y_uma_relacao	5
gentil_fundamentos_definicao_11_p_66_temos_a_x_a_x_a_traduzindo_para_o_nosso_c	6
gentil_fundamentos_definicao_13_p_71_devemos_provar_que_i_duas_classes_de_equiva	4
gentil_fundamentos_definicao_14_p_76_2a_ordem_total_definicao_17_p_78_3a_compati	5
gentil_fundamentos_definicao_14_relacao_de_ordem_parcial_uma_relacao_r_sobre_um_	4
gentil_fundamentos_definicao_15_um_conjunto_a_com_uma_relacao_r_ou_de_ordem_parc	4
gentil_fundamentos_definicao_16_elementos_comparaveis_sejam_a_um_conjunto_e_r_um	4
gentil_fundamentos_definicao_18_adicao_p_92_lema_1_p_94_lei_do_corte_prop_5_p_97	4
gentil_fundamentos_definicao_18_adicao_seja_n_n_um_natural_dado_entao_i_m_0_m	4
gentil_fundamentos_definicao_18_p_92_e_finalmente_na_terceira_igualdade_utili-_z	6
gentil_fundamentos_definicao_18_para_provar_a_segunda_igualdade_consideremos_o_c	5
gentil_fundamentos_definicao_18_temos_que_1_0_1_σ0_portanto_0_a_considerando_po	4
gentil_fundamentos_definicao_19_multiplicacao_a_multiplicacao_em_n_e_definida_po	4
gentil_fundamentos_definicao_19_p_92_n_0_0_n_n_n_m_1_n_m_n_sempre	5
gentil_fundamentos_definicao_1_operacao_sendo_e_um_conjunto_nao_vazio_toda_aplic	4
gentil_fundamentos_definicao_21_indicaremos_por_1_lemos_um_o_numero_natural_que_	4
gentil_fundamentos_definicao_22_p_105_concluimos_que_existem_r_s_n_tais_que_m_n_	4
gentil_fundamentos_definicao_22_p_105_teorema_12_p_109_item_iii_p_110_proposicao	4
gentil_fundamentos_definicao_22_p_105_uma_relacao_de_ordem_parcial_que_satisfaz_	4
gentil_fundamentos_definicao_22_relacao_de_ordem_em_n_dados_x_y_n_dizemos_que_x_	4
gentil_fundamentos_definicao_23_p_106_concluimos_que_existem_r_s_ntais_que_m_n_r	4
gentil_fundamentos_definicao_24_menor_elemento_seja_a_um_subconjunto_de_n_diremo	4
gentil_fundamentos_definicao_24_p_115_falta_apenas_provar_o_ıtem_i_da_referida	6
gentil_fundamentos_definicao_26_adicao_seja_n_n_um_natural_dado_entao_i_m_0_m	4
gentil_fundamentos_definicao_27_multiplicacao_a_multiplicacao_em_n_e_definida_po	4
gentil_fundamentos_definicao_29_dados_dois_elementos_a_b_e_c_d_do_conjunto_n_n_d	4
gentil_fundamentos_definicao_29_p_156_a_b_a_b_n_n_a_b_n_a_b_n_a	5
gentil_fundamentos_definicao_29_p_156_a_n_b_n_a_b_a_n_b_b_n_a_e	5
gentil_fundamentos_definicao_29_p_156_an1bn_anbn1_a_b_an1bnb_anb	5
gentil_fundamentos_definicao_29_p_156_definicao_10_p_63_teorema_2_p_69	7
